storm_id,year,month,month_name,name,start_date,end_date,duration_hours,max_wind_kt,max_wind_mph,min_pressure_mb,category_num,category,is_hurricane,is_major,landfalls,observations,narrative,is_retired
AL031858,1858,9,September,UNNAMED,1858-09-14,1858-09-17,78,90,103,979,2,Cat 2,1,0,3,16,"The unnamed storm of 1858 (AL031858) formed in the Gulf of Mexico on September 14, 1858. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 2 hurricane on September 15 with maximum sustained winds of 103 mph (90 kt). The minimum central pressure was recorded at 979 mb. It made landfall near the Florida Gulf Coast on September 14 with winds of 69 mph. It made landfall near the northeastern U.S. coast on September 16 as a Category 1 hurricane with winds of 92 mph. The storm made 1 additional landfall during its track. The system persisted for approximately 3 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 17.",0
AL041858,1858,9,September,UNNAMED,1858-09-17,1858-09-24,186,80,92,,1,Cat 1,1,0,0,32,"The unnamed storm of 1858 (AL041858) formed in the central Atlantic on September 17, 1858. It initially tracked westward through the Atlantic before recurving northeastward. It reached peak intensity as a Category 1 hurricane on September 17 with maximum sustained winds of 92 mph (80 kt). The system persisted for approximately 8 days. The storm was tracked across 32 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 24.",0
AL051858,1858,9,September,UNNAMED,1858-09-22,1858-09-25,78,80,92,,1,Cat 1,1,0,0,14,"The unnamed storm of 1858 (AL051858) formed in the Caribbean Sea on September 22, 1858. The system tracked northward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 24 with maximum sustained winds of 92 mph (80 kt). The system persisted for approximately 3 days. The storm was tracked across 14 observations in the HURDAT2 database. The system dissipated over the western Atlantic off the U.S. East Coast on September 25.",0
AL061858,1858,10,October,UNNAMED,1858-10-21,1858-10-26,126,90,103,,2,Cat 2,1,0,0,22,"The unnamed storm of 1858 (AL061858) formed in the Caribbean Sea on October 21, 1858. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast, the central Atlantic. It reached peak intensity as a Category 2 hurricane on October 24 with maximum sustained winds of 103 mph (90 kt). The system persisted for approximately 5 days. The storm was tracked across 22 observations in the HURDAT2 database. The system dissipated over the open Atlantic on October 26.",0
AL011859,1859,7,July,UNNAMED,1859-07-01,1859-07-01,0,90,103,,2,Cat 2,1,0,0,1,"The unnamed storm of 1859 (AL011859) formed in the Gulf of Mexico on July 1, 1859. The system remained nearly stationary during its lifetime. It reached peak intensity as a Category 2 hurricane on July 1 with maximum sustained winds of 103 mph (90 kt). The system was short-lived, lasting less than a day.",0
AL021859,1859,8,August,UNNAMED,1859-08-17,1859-08-19,66,90,103,,2,Cat 2,1,0,0,12,"The unnamed storm of 1859 (AL021859) formed in the western Atlantic off the U.S. East Coast on August 17, 1859. The system tracked eastward during its lifetime. It reached peak intensity as a Category 2 hurricane on August 17 with maximum sustained winds of 103 mph (90 kt). The system persisted for approximately 3 days. The storm was tracked across 12 observations in the HURDAT2 database. The system dissipated over the open Atlantic on August 19.",0
AL031859,1859,9,September,UNNAMED,1859-09-02,1859-09-03,30,70,80,,1,Cat 1,1,0,0,6,"The unnamed storm of 1859 (AL031859) formed in the central Atlantic on September 2, 1859. The system tracked westward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 2 with maximum sustained winds of 80 mph (70 kt). The system persisted for approximately 1 day. The storm was tracked across 6 observations in the HURDAT2 database. The system dissipated over the Caribbean Sea on September 3.",0
AL041859,1859,9,September,UNNAMED,1859-09-12,1859-09-13,36,90,103,,2,Cat 2,1,0,0,7,"The unnamed storm of 1859 (AL041859) formed in the open Atlantic on September 12, 1859. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 2 hurricane on September 12 with maximum sustained winds of 103 mph (90 kt). The system persisted for approximately 2 days. The storm was tracked across 7 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 13.",0
AL051859,1859,9,September,UNNAMED,1859-09-15,1859-09-18,90,70,80,,1,Cat 1,1,0,1,16,"The unnamed storm of 1859 (AL051859) formed in the Gulf of Mexico on September 15, 1859. The system tracked northeastward during its lifetime. It reached peak intensity as a Category 1 hurricane on September 15 with maximum sustained winds of 80 mph (70 kt). It made landfall near the northern Gulf Coast on September 16 as a Category 1 hurricane with winds of 80 mph. The system persisted for approximately 4 days. The storm was tracked across 16 observations in the HURDAT2 database. The system dissipated over the open Atlantic on September 18.",0
AL061859,1859,10,October,UNNAMED,1859-10-02,1859-10-06,114,110,126,938,3,Cat 3,1,1,0,20,"The unnamed storm of 1859 (AL061859) formed in the Caribbean Sea on October 2, 1859. The system tracked northeastward during its lifetime. Over its lifetime, the storm traversed the Caribbean Sea, the western Atlantic, the western Atlantic off the U.S. East Coast, the open Atlantic. The storm covered a vast area, spanning approximately 27 degrees of latitude. It reached peak intensity as a Category 3 hurricane on October 4 with maximum sustained winds of 126 mph (110 kt). The minimum central pressure was recorded at 938 mb. The system first reached hurricane strength on October 2 and continued to intensify over the following days. The storm remained over open water and did not make landfall. The system persisted for approximately 5 days. A minimum pressure of 938 mb reflected the storm's significant intensity. The storm was tracked across 20 observations in the HURDAT2 database. The system dissipated over the open Atlantic on October 6.",0
